Time,Avg_Intelligence,Avg_Knowledge,Truth_Adoption,Apparent_Truth,Truth_Distortion,Avg_Suppression,Event_Horizon,Beyond_Horizon,Lifecycle_Intensity,Lifecycle_Phase,Inflation_Multiplier,Is_Inflating,Dark_Energy_Effect,Background_Knowledge
0,5.0,1.0,1.0,0.0,0.0,7.5,0.0,False,0.0,0,0.0,False,0.0,0.0
1,4.743729604358279,0.21986693307950614,3.4990978256849274,0.76,0.24,8.617642752130891,15.0,True,0.02911773320787564,0,1.0,False,0.0004975165426584046,0.21986693307950614
2,4.291908221638934,0.20887358642553083,5.989834173583496,2.439423652405722,1.0596741732792054,8.400756720211692,356.5321063672693,True,0.05653978164142126,0,1.0,False,0.0007035946421324884,0.23894183423086507
3,3.6667870093519945,0.1984299071042543,8.461867082815967,4.254578227210982,1.7352559463725141,8.01343599747661,385.1069497979344,True,0.082364894294364,0,1.0,False,0.0008617239294903655,0.25646424733950357
4,2.9017340130906377,0.18850841174904157,10.903231358681762,6.199045801487143,2.2628212813288244,7.625093027725043,407.03758239629406,True,0.10668606946672327,0,1.0,False,0.0009950330853168092,0.2717356090899523
5,2.024684797957405,0.1790829911615895,13.30203009223164,8.215917309403748,2.687314049278014,7.253498730742647,429.1545026761044,True,0.12959088965914106,0,1.0,False,0.0011124808093148668,0.2841470984807897
6,1.0598542203834787,0.17012884160351,15.647302557084345,10.2741793478705,3.027850744361139,6.899785616491977,452.34402256325603,True,0.1511618369644845,0,1.0,False,0.0012186616681067115,0.29320390859672263
7,0.028346618131629732,0.1616223995233345,17.929701949136557,12.350775341279867,3.2965272158044785,6.563296071705311,476.7708589978804,True,0.17147659009247163,0,1.0,True,0.0013163050450147964,0.298544972998846
8,-1.0514691983563276,0.15354127954716776,20.14193890938605,14.426523104157718,3.503178844978839,6.243213715707826,502.51483931049296,True,0.19060830409692958,0,2.0,True,0.0014071892842649769,0.29995736030415054
9,-2.1636507922229207,0.14586421556980936,22.278949801780662,16.48554920727625,3.6563897021098004,5.9387409892323975,529.6486704839383,True,0.20862587381300518,0,1.7408182206817178,True,0.001492549627975214,0.2973847630878195
10,-3.2944092489853483,0.1385710047913189,24.33782190790106,18.51516414692377,3.7637856548568926,5.64911691958845,558.2475921625398,True,0.2255941819529868,0,1.5488116360940265,True,0.0015732854484128817,0.2909297426825682
11,-4.431865645366794,0.13164245455175294,26.317547372293543,20.50566187271773,3.832160035183327,5.373617391530222,588.3907368097373,True,0.2415743327541504,0,1.4065696597405992,True,0.0016500756989927747,0.28084964038195903
12,-5.565833373117028,0.1250603318241653,28.218685643748607,22.45000379578997,3.86754357650357,5.111553575843696,620.1614890170172,True,0.25662387202001413,0,1.3011942119122022,True,0.001723447858980731,0.2675463180551151
13,-6.687623588611951,0.118807315232957,30.04300163668929,24.343430445224126,3.8752551985244814,4.86227023337086,653.6477332754268,True,0.27079699434738824,0,1.22313016014843,True,0.001793821404946445,0.2515501371821464
14,-7.7898713900750325,0.11286694947130915,31.793125739821296,26.18305183361615,3.85994980307314,4.625144079612111,688.9420991664302,True,0.28414473828546016,0,1.1652988882215864,True,0.0018615364468800525,0.23349881501559047
15,-8.866380577828709,0.1072236019977437,33.47226095274729,27.96745639893584,3.8256693408854545,4.399582226649781,726.142217846851,True,0.2967151701297004,0,1.1224564282529819,True,0.001926873284178693,0.21411200080598675
16,-9.911985074542299,0.1018624218978565,35.08394633280051,29.696362986090076,3.775897966657216,4.185020700788678,765.3509921458303,True,0.30855355701244397,0,1.0907179532894125,True,0.0019900661706336183,0.194162585657242
17,-10.922425280170483,0.09676930080296367,36.63187560140945,31.370326760109666,3.713619572690842,3.9809230324593683,806.6768812169731,True,0.3197025299134608,0,1.2,True,0.002051313255872717,0.17444588979731684
18,-11.894237813328317,0.09193083576281548,38.11976431120946,32.990500318692995,3.641375282716454,3.786778914886311,850.2342005569769,True,0.33020223717753044,0,1.2,True,0.002110783926397465,0.15574795567051475
19,-12.824657249517362,0.0873342939746747,39.55125692483575,34.55844558308428,3.5613187281251832,3.6021029281701744,896.1434382235606,True,0.3400904890918481,0,1.2,True,0.002168624332187729,0.1388142109057281
20,-13.711528608876042,0.08296757927594095,40.92986512530993,36.07598938881714,3.4752675360186034,3.4264333255945116,944.5315881277617,True,0.349402894043899,0,1.2,True,0.0022249616186297335,0.12431975046920718
21,-14.553229473722672,0.0788192003121439,42.25892965318966,37.545115019733004,3.384750105576927,3.2593308791222513,995.5325013225913,True,0.3581729867501148,0,1.2,True,0.002279907216224865,0.1128424227586412
22,-15.348600730643867,0.0748782402965367,43.54159930702947,38.967882363675486,3.2910472895141782,3.1003777811954363,1049.2872562597754,True,0.36643234901707483,0,1.2,True,0.0023335594324578467,0.1048397926110484
23,-16.096885034634962,0.07113432828170986,44.79159930702947,40.34637031785085,3.1952289891786236,2.9491766000923776,1105.9445490387825,True,0.37421072347012174,0,1.2,True,0.002386005518650734,0.10063089963665356
24,-16.797672185052008,0.06757761186762437,46.04159930702947,41.692667754956254,3.098931552073221,2.805349286230334,1165.6611047276292,True,0.3815361206589391,0,1.2,True,0.002437323336213423,0.10038353911641595
25,-17.450850685981926,0.06419873127424315,47.29159930702947,43.036879527535646,3.004719779493822,2.6685362269291857,1228.6021108932555,True,0.3884349199257851,0,1.2,True,0.002487582713292023,0.10410757253368616
26,-18.0565648380544,0.060988794710530994,48.54159930702947,44.37899255591795,2.912606751111528,2.5383953472727314,1294.941674540686,True,0.39493196439961764,0,1.2,True,0.0025368465593504225,0.11165453442798469
27,-18.61517677557714,0.057939354975004444,49.79159930702947,45.71900030125263,2.822599005776847,2.4146012548195257,1364.8633037249472,True,0.40105065045819266,0,1.2,True,0.002585171788471097,0.12272355124440129
28,-19.127232922952736,0.05504238722625422,51.04159930702947,47.05690196161558,2.7346973454138883,2.2968444260247756,1438.560415167972,True,0.406813011980295,0,1.2,True,0.002632610090029593,0.13687333621276793
29,-19.593434398325048,0.052290267864941495,52.29159930702947,48.392701772940505,2.6488975340889644,2.184830432339112,1516.2368692846442,True,0.41223979969150154,0,1.2,True,0.0026792085764912725,0.15353978205862434
30,-20.014610940927064,0.04967575447169442,53.54159930702947,49.72640839851135,2.565190908518116,2.0782792040492772,1598.107534097951,True,0.4173505558892067,0,1.2,True,0.0027250103314598946,0.17205845018010743
31,-20.391697982216908,0.0471919667481097,54.79159930702947,51.058034393631644,2.483564913397829,1.9769243300201076,1684.3988796031379,True,0.4221636848160013,0,1.2,True,0.0027700548761318677,0.19169105971825037
32,-20.72571652009091,0.04483236841070421,56.04159930702947,52.38759573440506,2.4040035726244118,1.8805123915869728,1775.3496042249835,True,0.4266965189348249,0,1.2,True,0.0028143785685299538,0.21165492048504939
33,-21.01775549069987,0.042590749990169,57.29159930702947,53.71511140143795,2.3264879055915206,1.7888023289331998,1871.2112951010752,True,0.4309653813445536,0,1.2,True,0.002858014946990215,0.23115413635133789
34,-21.268956364065822,0.04046121249066055,58.54159930702947,55.040603010799195,2.250996296230277,1.7015648383682531,1972.2491240175405,True,0.43498564456078703,0,1.2,True,0.0029009950271309073,0.2494113351138609
35,-21.480499718161433,0.03843815186612752,59.79159930702947,56.36409448581826,2.17750482121121,1.6185817989996942,2078.7425809223246,True,0.438771785873509,0,1.2,True,0.002943347559779005,0.2656986598718789
36,-21.653593571694774,0.036516244272821144,61.04159930702947,57.685611764323454,2.1059875427060155,1.5396457273654185,2190.986247045034,True,0.44233743948096876,0,1.2,True,0.002985099255950428,0.2793667863849153
37,-21.789463278828045,0.034690432059180085,62.29159930702947,59.00518253676329,2.0364167702661766,1.4645592586626186,2309.2906097619075,True,0.445695445587521,0,1.2,True,0.0030262749838860597,0.28987080958116274
38,-21.889342809710588,0.03295591045622108,63.54159930702947,60.32283601134904,1.9687632956804348,1.3931346532763724,2433.9829214600154,True,0.4488578966422313,0,1.2,True,0.0030668979422721816,0.29679196720314865
39,-21.954467259257434,0.03130811493341002,64.79159930702947,61.6386027029333,1.902996604096176,1.3251933273740453,2565.408104776405,True,0.45183618088475347,0,1.2,True,0.0031069898130718283,0.2998543345374605
40,-21.98606644326627,0.02974270918673952,66.04159930702947,62.952514242819916,1.8390850642095538,1.2605654063918625,2703.929706716266,True,0.45464102335529377,0,1.2,True,0.0031465708968257634,0.2989358246623382
41,-21.985359455926247,0.02825557372740254,67.29159930702947,64.26460320710167,1.776996099927795,1.1990893002972187,2849.9309042893697,True,0.4572825245163394,0,1.2,True,0.0031856602328198245,0.29407305566797726
42,-21.953550076202827,0.026842795041032413,68.54159930702947,65.57490296145889,1.716696345570587,1.1406112995647877,3003.815564446518,True,0.4597701966252338,0,1.2,True,0.0032242757061374935,0.28545989080882805
43,-21.891822922637125,0.025500655288980788,69.79159930702947,66.88344752063492,1.6581517863945554,1.08498519085622,3166.0093612480164,True,0.46211299798857725,0,1.2,True,0.003262434143305762,0.2734397097874114
44,-21.801340266913495,0.02422562252453175,71.04159930702947,68.19027142104352,1.6013278859859572,1.0320718914425449,3336.96095335439,True,0.46431936522180695,0,1.2,True,0.0033001513979855493,0.2584917192891762
45,-21.683239426250964,0.02301434139830516,72.29159930702947,69.49540960516465,1.546189701864816,0.9817391014552115,3517.1432250965195,True,0.46639724363012514,0,1.2,True,0.0033374424279446003,0.24121184852417568
46,-21.53863066337319,0.0218636243283899,73.54159930702947,70.79889731655727,1.492701990472195,0.9338609730962972,3707.054594558215,True,0.46835411582017966,0,1.2,True,0.003374321364372919,0.22228899141002462
47,-21.368595530610357,0.020770443111970405,74.79159930702947,72.10077000446304,1.4408293025664278,0.8883177959808156,3907.2203922895624,True,0.4701970286455303,0,1.2,True,0.003410801574451714,0.2024775425453358
48,-21.17418560167392,0.019731920956371884,76.04159930702947,73.40106323709988,1.3905360699295988,0.8449956978243843,4118.194314464841,True,0.4719326185829331,0,1.2,True,0.003446895717961462,0.18256732187770186
49,-20.95642154090519,0.01874532490855329,77.29159930702947,74.6998126228505,1.3417866841789758,0.8037863597278884,4340.55995450467,True,0.4735671356308248,0,1.2,True,0.0034826157986088324,0.16335208707480717
50,-20.583646197493458,0.017808058663125622,78.54159930702947,75.99705373864283,1.2945455683866447,0.7645867453472623,4574.932417399118,True,0.737553232908034,1,1.2,True,0.0035179732106624417,0.145597888911063
51,-20.01761022740842,0.01691765572996934,79.79159930702947,77.29282206489759,1.2487772421318764,0.7272988432712403,4821.960021197255,True,1.0313952597646567,1,1.2,True,0.0035529787814110826,0.13001253124064566
52,-19.390534615096907,0.016071772943470872,81.04159930702947,78.58715292648662,1.204446380542849,0.6918294219629426,5082.326090369752,True,1.0626666167821521,1,1.2,True,0.00358764280989289,0.11721735309143465
53,-18.702173964595666,0.015268184296297328,82.29159930702947,79.8800814392039,1.1615178678255615,0.6580897966525768,5356.750846005306,True,1.0936906572928624,1,1.2,True,0.003621975102288104,0.10772245783871927
54,-17.952471890661933,0.01450477508148246,83.54159930702947,81.17164246130271,1.1199568457267668,0.6259956075984225,5645.993398069432,True,1.1243449435824273,1,1.2,True,0.0036559850043201346,0.10190637699335085
55,-17.14156800226877,0.013779536327408337,84.79159930702947,82.4618705496961,1.0797287573333774,0.5954666091616824,5950.853845236586,True,1.1545084971874737,1,1.2,True,0.003689681430968325,0.10000097934492966
56,-16.26980285409088,0.013090559511037918,86.04159930702947,83.75079992045744,1.0407993865720386,0.5664264691678258,6272.175488104095,True,1.184062276342339,1,1.2,True,0.003723072893760105,0.1020822270848683
57,-15.337720974658694,0.012436031535486022,87.29159930702947,85.03846441329082,1.0031348937386422,0.5388025780527711,6610.847161910008,True,1.2128896457825364,1,1.2,True,0.0037561675258792723,0.10806714743353243
58,-14.346072080341198,0.01181422995871172,88.54159930702947,86.32489745967169,0.9667018473577766,0.5125258673167126,6967.805695207562,True,1.2408768370508576,1,1.2,True,0.0037889731053002717,0.11771714050312922
59,-13.295810584368263,0.011223518460776134,89.79159930702947,87.61013205438361,0.931467252645854,0.4875306368316764,7344.038501297353,True,1.2679133974894983,1,1.2,True,0.003821497076134896,0.13064749152228777
60,-12.188093509762982,0.010662342537737327,91.04159930702947,88.894200730201,0.8973985768284669,0.4637543905710193,7740.586309585578,True,1.2938926261462367,1,1.2,True,0.003853746568357386,0.1463427081999565
61,-11.024276914364133,0.01012922541085046,92.29159930702947,90.17713553548752,0.864463771541956,0.4411376803501491,8158.546044423684,True,1.3187119948743449,1,1.2,True,0.0038857284160560036,0.1641770717763173
62,-9.805910935115056,0.009622764140307936,93.54159930702947,91.45896801449861,0.8326312925308689,0.4196239571877715,8599.073859392805,True,1.3422735529643444,1,1.2,True,0.003917449174343411,0.18343958245516906
63,-8.534733557512201,0.00914162593329254,94.79159930702947,92.73972919019282,0.801870116836653,0.3991594299160194,8392.47914375543,True,1.3644843137107059,1,1.2,True,0.00394891513504439,0.20336230472211386
64,-7.212663214576166,0.008684544636627912,96.04159930702947,94.0194495493712,0.7721497576582658,0.37969293068595233,7983.188598320387,True,1.3852566213878945,1,1.2,True,0.003980132341267237,0.22315098251015392
65,-5.84179031795855,0.008250317404796516,97.29159930702947,95.29815902997724,0.7434402770522359,0.3611757870321468,7593.858613719046,True,1.4045084971874737,1,1.2,True,0.004011106600954428,0.2420167036826641
66,-4.424367821856128,0.007837801534556689,98.54159930702947,96.57588701040166,0.7157122966278094,0.3435617001765023,7223.515740642936,True,1.4221639627510076,1,1.2,True,0.004041843499498585,0.2592073514707225
67,-2.9628009182932846,0.007445911457828855,99.79159930702947,97.85266230064742,0.68893700638205,0.3268066292669861,6871.234003530045,True,1.4381533400219317,1,1.2,True,0.00407234841150137,0.2740375889952449
68,-1.4596359600758841,0.007073615884937411,101.04159930702947,99.12851313521949,0.6630861718099786,0.31086868126187794,6536.132585339722,True,1.4524135262330098,1,1.2,True,0.004102626511745434,0.2859161814856497
69,0.08245129466582383,0.00671993509069054,102.29159930702947,100.40346716761357,0.6381321394158987,0.29570800618419557,6217.373625237558,True,1.4648882429441257,1,1.2,True,0.004132682785442802,0.2943695669444105
70,1.6606680249239012,0.006383938336156013,103.54159930702947,101.67755146628558,0.6140478407438908,0.2812866974844012,5914.1601236839115,True,1.4755282581475768,1,1.2,True,0.004162522037817223,0.29906073556948704
71,3.272117187419257,0.006064741419348212,104.79159930702947,102.95079251199154,0.5908067950379279,0.26756869726227084,5625.733949688024,True,1.4842915805643155,1,1.2,True,0.0041921489030726025,0.2998026652716362
72,4.913810769211591,0.0057615043483808005,106.04159930702947,104.2232161963943,0.5683831106351616,0.2545197061109493,5351.3739452454165,True,1.4911436253643444,1,1.2,True,0.00422156785279493,0.29656577765492775
