Time,Civilization_Count,knowledge_count,knowledge_mean,knowledge_max,knowledge_min,knowledge_total,suppression_count,suppression_mean,suppression_max,suppression_min,suppression_total,intelligence_count,intelligence_mean,intelligence_max,intelligence_min,intelligence_total,truth_count,truth_mean,truth_max,truth_min,truth_total,influence_count,influence_mean,influence_max,influence_min,influence_total,resources_count,resources_mean,resources_max,resources_min,resources_total,size_count,size_mean,size_max,size_min,size_total
0,5,5,2.0400497386777188,2.787031571103181,1.4270306570365898,10.200248693388595,5,4.200694014179158,5.410704713154515,3.4246126974082,21.00347007089579,5,6.460883458537209,8.087650408458725,5.319658716668914,32.30441729268605,5,2.1487529833411823,2.485559127935077,1.5217735668603558,10.743764916705912,5,7.6852005207099285,9.847292995849207,5.021237703254418,38.42600260354964,5,13.005152631835426,14.294400283673163,10.441865016804021,65.02576315917713,5,1.7317744930374233,1.9766998671587777,1.4200579617944975,8.658872465187116
1,5,5,2.139155931651888,2.936427734291005,1.4997924296235554,10.695779658259442,5,4.518314892071993,5.77898438908346,3.6378489547417336,22.591574460359965,5,4.368301791816789,7.132933481704691,1.0834373726636501,21.841508959083942,5,2.647278612234969,2.9836359275916564,2.021050926917491,13.236393061174844,5,7.683651697716082,9.819030837715545,5.03952554739189,38.418258488580406,5,13.005359380677566,14.294596524695315,10.441865016804021,65.02679690338783,5,1.7751456586359151,2.026915230781726,1.4605741001814692,8.875728293179575
2,5,5,2.243211949433068,3.093742504520299,1.5764175631888777,11.216059747165339,5,4.862705871506612,6.174829747192904,3.8671292834282567,24.31352935753306,5,2.820686475737132,5.691246087281053,0.1,14.10343237868566,5,3.1450628617546057,3.48086941885239,2.5197777251393876,15.725314308773028,5,7.681960942305548,9.789576485170146,5.058622416152919,38.40980471152774,5,13.005575364533271,14.294803083416024,10.441865016804021,65.02787682266636,5,1.8201818602250852,2.0789988675673103,1.5028138965543478,9.100909301125427
3,5,5,2.3524996998841505,3.2593425783834413,1.657214904245557,11.762498499420753,5,5.236294736268612,6.600506416730833,4.113841516129347,26.18147368134306,5,1.4679816385374664,3.5044302921838386,0.1,7.339908192687332,5,3.641955984239136,3.9771114856408225,3.0178014177870534,18.20977992119568,5,7.680063021785119,9.758186707535824,5.079087627413974,38.4003151089256,5,13.005806050900523,14.295026026362367,10.441865016804021,65.02903025450262,5,1.8669633501490623,2.1330355308491424,1.5468660946459243,9.334816750745311
4,5,5,2.4673841029323285,3.4335937156294984,1.7429582649854563,12.336920514661642,5,5.641738348973329,7.058483855360487,4.379503223348419,28.20869174486664,5,0.31860947454765465,0.7956028172851015,0.1,1.5930473727382732,5,4.1378108639734466,4.472216930224211,3.5149715485839854,20.689054319867232,5,7.67768815275644,9.723876271549067,5.102462498279653,38.3884407637822,5,13.006059306772608,14.29527675230502,10.441865016804021,65.03029653386304,5,1.9155748324946864,2.18911010650919,1.5928240914347935,9.577874162473432
5,5,5,2.5882171073812907,3.616846668876703,1.8337827333052743,12.941085536906453,5,6.081942586276729,7.551455790084431,4.6657807787101335,30.409712931383645,5,0.1,0.1,0.1,0.5,5,4.632483429600006,4.966043869937468,4.011140188618009,23.16241714800003,5,7.675033341185902,9.685141369595703,5.12901449942054,38.37516670592951,5,13.006349830462236,14.295562753886578,10.441865016804021,65.03174915231118,5,1.966106466951412,2.247317936009618,1.640786051617092,9.83053233475706
6,5,5,2.7153553408267714,3.809410350605482,1.930374567280861,13.576776704133858,5,6.560087010498532,8.082363574592804,4.974496833291423,32.80043505249266,5,0.1,0.1,0.1,0.5,5,5.125833041844096,5.458454107292786,4.5061623553527905,25.62916520922048,5,7.671681739999568,9.63950884821717,5.160382218091459,38.35840869999784,5,13.006689956120786,14.295900338896951,10.441865016804021,65.03344978060393,5,2.0186528506767814,2.3077570383670127,1.6908548930789604,10.093264253383907
7,5,5,2.8492990674595515,4.0114991939725435,2.005913235583003,14.246495337297757,5,7.079652491766353,8.65442354594313,5.307641422892904,35.398262458831766,5,0.1,0.1,0.1,0.5,5,5.617722853902059,5.949313471096981,4.999896407609243,28.088614269510295,5,7.6671726658249115,9.582558880731668,5.199272652854131,38.33586332912456,5,13.007108978940726,14.373395108519091,10.364784310362163,65.03554489470363,5,2.0733105087981016,2.3705303986342123,1.7431380130649057,10.366552543990508
8,5,5,2.990814778457915,4.22312953176284,1.9956629346648913,14.954073892289575,5,7.644421578365153,9.803657704803618,5.667392988768932,38.222107891825765,5,0.1,0.1,0.1,0.5,5,6.10802014225874,6.438492126632447,5.49220441375592,30.540100711293697,5,7.660586093515564,9.505892480685352,5.250055374075287,38.302930467577816,5,13.007671653671792,14.468476033048697,10.284612094399025,65.03835826835896,5,2.130174492470977,2.435746190647239,1.7977464554610736,10.650872462354886
9,5,5,3.141222389330334,4.443794755412043,1.9441342480226573,15.70611194665167,5,8.258507705459987,12.166614482396563,6.0561367382219,41.29253852729993,5,0.1,0.1,0.1,0.5,5,6.596596606137188,6.925864853404853,5.982952490759576,32.98298303068594,5,7.650497817534559,9.397248655144734,5.3175506646641,38.25248908767279,5,13.00846872456942,14.569421484658099,10.133745701174213,65.0423436228471,5,2.1893452460481373,2.503518086193506,1.854792543237898,10.946726230240687
10,5,5,3.301872551911829,5.295302724245883,1.5661397286418293,16.509362759559146,5,8.926414631385223,14.856256449905189,6.476484545524198,44.63207315692611,5,0.1,0.1,0.1,0.5,5,7.0833286342307336,7.411311289411198,6.472011112182183,35.416643171153666,5,7.63770705618087,9.263600055120463,5.398132850671203,38.188535280904354,5,13.009553650745328,14.712186866523956,9.920637541704306,65.04776825372664,5,2.2505068657776532,2.5739656393500123,1.916319122711843,11.252534328888267
11,4,4,4.118566235912435,6.529214874520874,2.7180094697422357,16.47426494364974,4,7.617796626550634,9.894502084091064,6.315381739472032,30.471186506202535,5,0.1,0.1,0.1,0.5,5,7.568097537814701,7.894716141325875,6.9592553836584745,37.840487689073505,4,8.163415861207143,9.144268498525179,6.864601662831234,32.653663444828574,4,12.546792203921022,13.855478067960517,9.690373299709696,50.18716881568409,4,2.357927089422424,2.648661088141981,1.9832798417200883,9.431708357689695
12,4,4,4.330707898842739,7.84166149686872,2.4314984375565687,17.322831595370957,4,8.161527729219483,10.47915306341526,6.799336088670549,32.64611091687793,5,0.1,0.1,0.1,0.5,5,7.95432549066885,8.375969360431242,7.444565284838418,39.77162745334425,4,8.157173278823468,9.09564338713035,6.874872183677415,32.62869311529387,4,12.547672140258776,13.962739293469003,9.545093853863644,50.1906885610351,4,2.4288949980855805,2.7269496594627767,2.0557580617412996,9.715579992342322
13,4,4,4.557923116755312,9.994794231106464,1.9800335385590575,18.231692467021247,4,8.743732848609133,11.040899880944384,7.345199110071891,34.97493139443653,5,0.1,0.1,0.1,0.5,5,8.338809606008175,8.854966284524846,7.65802871890347,41.694048030040875,4,8.15295181116102,9.057468304674781,6.8864021192837095,32.61180724464408,4,12.54846107619311,14.07592767166339,9.391029110878838,50.19384430477244,4,2.500856302393061,2.8027344389565374,2.135353162918735,10.003425209572244
14,4,4,4.803752400644893,11.337977599820183,1.295772524865622,19.21500960257957,4,9.363350959320481,11.52533113864498,7.984810302824643,37.453403837281925,5,0.1,0.1,0.1,0.5,5,8.721467395279117,9.331607746411443,7.65802871890347,43.60733697639559,4,8.14946963987056,9.022450943524833,6.899536249561642,32.59787855948224,4,12.549231406115814,14.171756140956523,9.22765966587181,50.196925624463255,4,2.574698661025681,2.885312696995804,2.2204785363228994,10.298794644102724
15,3,3,6.657913285380708,12.96331311982482,2.7171900862306444,19.973739856142124,3,9.939496712347152,11.974930641042759,8.68184605420265,29.818490137041458,5,0.1,0.1,0.1,0.5,5,9.102220778056628,9.805800149928794,7.65802871890347,45.51110389028314,3,8.193742096867743,8.984675893274547,6.914828344595944,24.581226290603226,3,13.71528862739764,14.273057620786414,13.020213741793135,41.14586588219292,3,2.7471259261050602,2.9713305901673683,2.3117329099690753,8.241377778315181
